Object Name,Event Display Name,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Schema Status,Property Required,Property Is Array,Property First Seen,Property Last Seen
[Cookie-Control] apply cookie preferences,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Cookie-Control] apply cookie preferences,,Event Property,,action,,string,LIVE,True,False,2019-09-05,2025-06-07
[Cookie-Control] apply cookie preferences,,Event Property,,type,,string,LIVE,True,False,2019-04-13,2025-06-07
[Cookie-Control] button click,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,False,False,2023-08-01,2025-06-05
[Cookie-Control] button click,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Cookie-Control] button click,,Event Property,,advertising,,string,LIVE,False,False,2020-03-24,2025-06-07
[Cookie-Control] button click,,Event Property,,content,,string,LIVE,False,False,2020-03-24,2021-02-01
[Cookie-Control] button click,,Event Property,,functional,,string,LIVE,False,False,2021-02-01,2025-06-07
[Cookie-Control] button click,,Event Property,,marketing_cookies,,string,LIVE,False,False,2020-03-12,2020-03-26
[Cookie-Control] button click,,Event Property,,performance,,string,LIVE,False,False,2020-03-24,2025-06-07
[Cookie-Control] button click,,Event Property,,type,,string,LIVE,True,False,2019-04-13,2025-06-07
[Cookie-Control] opened widget,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,False,False,2023-08-01,2025-06-05
[Cookie-Control] opened widget,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Cookie-Control] viewed widget,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,False,False,2023-08-01,2025-06-05
[Cookie-Control] viewed widget,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Corpsite New Infra] - Viewed Page,,Event Property,,path,,string,LIVE,False,False,2018-06-29,2025-06-07
[Drift] conversation: clicked bot response,,Event Property,,button body,,any,LIVE,False,False,2019-01-18,2021-02-18
[Drift] conversation: clicked bot response,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] conversation: clicked bot response,,Event Property,,question ID,,any,LIVE,False,False,2019-01-18,2021-02-18
[Drift] conversation: first interaction,,Event Property,,campaign ID,,any,LIVE,False,False,2019-04-17,2021-03-24
[Drift] conversation: first interaction,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] conversation: first interaction,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Drift] conversation: message received,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] conversation: message sent,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] conversation: started,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] email captured,,Event Property,,email,,string,LIVE,False,False,2018-11-19,2025-06-07
[Drift] Experiment Eligibility,,Event Property,,experimentId,,any,LIVE,False,False,2019-01-24,2024-06-06
[Drift] Experiment Eligibility,,Event Property,,variant,,any,LIVE,False,False,2019-01-24,2025-06-04
[Drift] meeting: booked,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] meeting: booked,,Event Property,,meeting date,,any,LIVE,False,False,2019-01-24,2021-02-02
[Drift] meeting: booked,,Event Property,,meeting duration,,any,LIVE,False,False,2019-01-24,2021-02-02
[Drift] meeting: booked,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Drift] meeting: booked,,Event Property,,team member,,any,LIVE,False,False,2019-01-24,2021-02-02
[Drift] meeting: prompt,,Event Property,,team member,,any,LIVE,False,False,2019-01-24,2021-02-02
[Drift] playbook: clicked,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Drift] playbook: dismissed,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Drift] playbook: fired,,Event Property,,conversation ID,,any,LIVE,False,False,2019-01-17,2021-08-26
[Drift] playbook: fired,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Drift] playbook: responded,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Drift] playbook: shown,,Event Property,,playbook ID,,any,LIVE,False,False,2019-01-20,2024-08-24
[Enrichment] applied company info,,Event Property,,segment,,any,LIVE,False,False,2019-02-22,2024-02-13
[Enrichment] applied parent company info,,Event Property,,segment,,any,LIVE,False,False,2019-02-22,2024-02-13
[experiment - homepage demo cta] - click link,,Event Property,,path,,string,LIVE,False,False,2018-06-29,2025-06-07
[experiment - homepage demo cta] - click link,,Event Property,,ref,,any,LIVE,False,False,2018-10-24,2021-02-22
[Experiment: anon_kudu_pricing_nudge] exposure,,Event Property,,path,,any,LIVE,False,False,2018-06-29,2025-06-07
[Experiment: anon_kudu_pricing_nudge] exposure,,Event Property,,type,,any,LIVE,False,False,2019-04-13,2025-06-07
[Experiment] Assignment,,Event Property,,[Experiment] Endpoint,,any,LIVE,False,False,2021-05-27,2025-06-07
[Experiment] Assignment,,Event Property,,[Experiment] Environment ID,,any,LIVE,False,False,2021-05-27,2025-06-07
[Experiment] Assignment,,Event Property,,[Experiment] Environment Name,,any,LIVE,False,False,2021-05-27,2025-06-07
[Experiment] Assignment,,Event Property,,new-org-activation-form.details,,any,LIVE,False,False,2022-02-12,2023-08-16
[Experiment] Assignment,,Event Property,,new-org-activation-form.name,,any,LIVE,False,False,2021-07-21,2022-02-11
[Experiment] Assignment,,Event Property,,new-org-activation-form.rule,,any,LIVE,False,False,2021-07-21,2022-02-11
[Experiment] Assignment,,Event Property,,new-org-activation-form.variant,,any,LIVE,False,False,2021-07-21,2023-08-16
[Experiment] Assignment,,Event Property,,new-org-activation-form.version,,any,LIVE,False,False,2021-07-21,2022-02-11
[Experiment] Assignment,,Event Property,,new-org-activation-short-form.name,,any,LIVE,False,False,2021-07-16,2021-07-16
[Experiment] Assignment,,Event Property,,new-org-activation-short-form.rule,,any,LIVE,False,False,2021-07-16,2021-07-16
[Experiment] Assignment,,Event Property,,new-org-activation-short-form.variant,,any,LIVE,False,False,2021-07-16,2021-07-16
[Experiment] Assignment,,Event Property,,new-org-activation-short-form.version,,any,LIVE,False,False,2021-07-16,2021-07-16
[Experiment] Assignment,,Event Property,,pricing-page-v2.details,,any,LIVE,False,False,2022-02-11,2022-03-11
[Experiment] Assignment,,Event Property,,pricing-page-v2.name,,any,LIVE,False,False,2021-12-14,2022-02-11
[Experiment] Assignment,,Event Property,,pricing-page-v2.rule,,any,LIVE,False,False,2021-12-14,2022-02-11
[Experiment] Assignment,,Event Property,,pricing-page-v2.variant,,any,LIVE,False,False,2021-12-14,2022-03-11
[Experiment] Assignment,,Event Property,,pricing-page-v2.version,,any,LIVE,False,False,2021-12-14,2022-02-11
[Experiment] Assignment,,Event Property,,scholarship-short-form.details,,any,LIVE,False,False,2022-02-12,2023-08-16
[Experiment] Assignment,,Event Property,,scholarship-short-form.name,,any,LIVE,False,False,2021-09-01,2022-02-11
[Experiment] Assignment,,Event Property,,scholarship-short-form.rule,,any,LIVE,False,False,2021-09-01,2022-02-11
[Experiment] Assignment,,Event Property,,scholarship-short-form.variant,,any,LIVE,False,False,2021-09-01,2023-08-16
[Experiment] Assignment,,Event Property,,scholarship-short-form.version,,any,LIVE,False,False,2021-09-01,2022-02-11
[Guides-Surveys] Guide Completed,,Event Property,,[Amplitude] Session Replay ID,,any,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Completed,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Amplitude] Session Replay ID,,any,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Page.query,,any,UNEXPECTED,False,False,2025-06-06,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Dismissed,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,False,False,2025-05-19,2025-06-06
[Guides-Surveys] Guide Engaged,,Event Property,,[Amplitude] Session Replay ID,,any,UNEXPECTED,False,False,2023-12-15,2025-06-07
[Guides-Surveys] Guide Engaged,,Event Property,,[Guides-Surveys] Engagement.level,,any,UNEXPECTED,False,False,2025-06-05,2025-06-06
